168," rue de la Manutention","Rés. Capucines","yes","59400","CAMBRAI",2,,
169,"80 rue Daniel Ranger",,"yes","62870","CAMPAGNE LES HESDIN",27,,
170,"471 rue Principal",,"yes","62120","CAMPAGNE LES WARDRECQUES",28,,
171,"Rue du Moulin","Pôle Santé ","yes","62170","CAMPIGNEULLES LES PETITES",27,,
172,"209 Bis route Nationale ","BP 11","yes","62360","CAPELLE-LES-BOULOGNE",27,,
173,"5 rue de l'Egalité",,"yes","59180","CAPPELLE LA GRANDE",28,,
174,"19 rue Emile Zola",,"yes","62220","CARVIN",29,,
175,"25 rue Victor Hugo",,"yes","62220","CARVIN",29,,
176,"3 rue du Foyer",,"yes","62220","CARVIN",,,
177,"5 rue du Progrés",,"yes","62220","CARVIN",29,,
178,"15 Grand Place",,"yes","59670","CASSEL",22,,
179,"22 Bis rue Victor Hugo",,"yes","59540","CAUDRY",29,,
180,"37 rue de Cambrai",,"yes","59540","CAUDRY",28,,
181,"91 Route Nationale",,"yes","59152","CHERENG",2,,
182,"135 route de Gonnehem",,"yes","62920","CHOCQUES",2,,
183,"14 rue de la République",,"yes","59560","COMINES",2,,
184,"54 Avenue du Maréchal Leclerc",,"yes","59560","COMINES",2,,
185,"1 Bis rue des Bergeronnettes",,"yes","59163","CONDE SUR ESCAUT",29,,
186,"27 rue Faidherbe",,"yes","59163","CONDE SUR ESCAUT",,,
187,"28 rue Maréchal ",,"yes","59163","CONDE SUR ESCAUT",28,,
188,"7 Bis rue de Verdun",,"yes","62360","CONDETTE",23,,
189,"50 Chemin Rouge Cambre",,"yes","62231","COQUELLES",28,,
190,"644 Avenue Charles de Gaulle",,"yes","62231","COQUELLES",28,,
191,"1 rue Rabelais",,"yes","59210","COUDEKERQUE BRANCHE",2,,
192,"63 Bd Vauban",,"yes","59210","COUDEKERQUE BRANCHE",28,,
193,"149 rue des Hauts Champs",,"yes","62137","COULOGNE",27,,
194,"24 rue Emilienne Moreau",,"yes","62970","COURCELLES LES LENS",19,,
195,"6 rue Ferrer",,"yes","62970","COURCELLES LES LENS",,,
196,"8 ter rue Fernand Stassin",,"yes","59552","COURCHELETTES",19,,
197,"57 A Avenue du Général Leclerc",,"yes","62710","COURRIERES",2,,
198,"58 rue des Fusillés",,"yes","62710","COURRIERES",2,,
199,"402 rue des Déportés",,"yes","59154","CRESPIN",29,,
200,"2 rue Albert Michel",,"yes","62128","CROISILLES",19,,
201,"1 rue de l'Ouest",,"yes","59170","CROIX",2,,
202,"103 Boulevard Emile Zola",,"yes","59170","CROIX",29,,
203,"107 rue Jean Jaurès",,"yes","59170","CROIX",,,
204,"2 Avenue Jussieu",,"yes","59170","CROIX",29,,
205,"3 Contour Saint Martin",,"yes","59170","CROIX",29,,
206,"308 rue Jean Jaurès",,"yes","59170","CROIX",29,,
207,"57 Avenue de Flandre",,"yes","59170","CROIX",2,,
208,"136 Avenue de la Libération",,"yes","62780","CUCQ",27,,
209,"457 avenue d'Etaples",,"yes","62780","CUCQ",10,,
210,"30 bis rue Jean Jaurès",,"yes","62149","CUINCHY",2,,
